time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
2.0400000000000014,-0.596430031511,0.582151464955,13.7857845011,0.0660136950132,0.048076944944,0.0,-0.848422280252,0.892043351006,3.52343383621,0.0208637950706,0.00454443086017,0.0,428.4082947783656,428.20531977111006,428.25733382290423,429.3193434077282
2.1000000000000014,-0.648366958652,0.637048296214,14.0005163777,0.0672914477817,0.0482495043206,0.0,-0.882821819496,0.937948359246,3.6339168942,0.0221462607669,-0.000689411963655,0.0,454.0619278931383,453.64177811396087,452.43458341785674,452.537821555366
2.1600000000000015,-0.702428838448,0.694803946368,14.2230493598,0.0684077427082,0.0483132679315,0.0,-0.919225821398,0.987330578976,3.78332950584,0.0103663590568,0.00435522521517,0.0,465.6458440896315,466.0403099146082,466.26822640943544,465.34690954896996
2.2200000000000015,-0.758409677822,0.755160784667,14.4489853214,0.069008979415,0.0488508428382,0.0,-0.94684922158,1.02461013768,3.74796782472,0.00931999417161,0.0168644002348,0.0,407.4410547289731,408.55789167115523,407.3285217726652,407.23481354768
2.2800000000000016,-0.816261625459,0.818044266763,14.6768778635,0.0695772869802,0.0502091166153,0.0,-0.981662087936,1.07152638775,3.84808079513,0.00977367771286,0.0322191202953,0.0,451.2484685245796,452.4863747418293,451.39497633109073,451.43146384823785
2.3400000000000016,-0.876397002463,0.88397533364,14.9139648011,0.0696087874922,0.0521850876214,0.0,-1.0230500489,1.12616519635,4.05405278232,-0.0337830133024,0.0343231464791,0.0,483.85480931067474,484.01351380502354,485.964450247338,482.6883317449033
2.4000000000000017,-0.938887103108,0.952936477864,15.1600359425,0.0676181137045,0.0543225279165,0.0,-1.06015435463,1.17229422395,4.14795966923,-0.0319945578271,0.0381059163788,0.0,452.71888572731336,453.0237091741704,451.20806782420533,451.35202912978144
2.4600000000000017,-1.00361108432,1.02457399318,15.4110388086,0.0655921875634,0.0566404096902,0.0,-1.09752916165,1.21539378811,4.21852067941,-0.0375650010447,0.0396618222638,0.0,445.1011651718543,445.2292219806375,446.13501475662616,445.6794531134775
2.520000000000002,-1.07071883439,1.09885881498,15.6679043758,0.0632460081204,0.0591560428124,0.0,-1.13963498011,1.26047297553,4.34317007925,-0.0423706087716,0.0461102997989,0.0,462.94522924434455,463.4532566735097,462.66375023962775,462.28450176836594
2.580000000000002,-1.14021374229,1.17558689993,15.9289685624,0.0603751324527,0.0620604640718,0.0,-1.17712017133,1.29686557074,4.35889057734,-0.0620133724387,0.0526433169742,0.0,428.7609082497321,429.31716782243126,431.0269155079235,429.36187184106893
